
[2052-11-10 00:18:03.703] BLE disconnected. conn_hdl=0 reason=0x13
[2052-11-10 00:18:03.704] BLE advertising restarted.
[2052-11-10 00:00:01.051] BLE connected. conn_hdl=0 peers=1
[2052-11-10 00:00:01.051] [Settings] current: threshold=15.0 deg  debounce=200 ms  deadzone=5.0 deg
[2052-11-10 00:00:01.582] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.622] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.662] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.702] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.742] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.781] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.821] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.860] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.901] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.941] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:01.981] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.021] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.061] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.101] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.141] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.180] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.219] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.261] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.301] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.341] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.382] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.421] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.462] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.501] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.541] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.581] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.621] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.662] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.702] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.742] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.781] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.822] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.861] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.901] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.940] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:02.981] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.021] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.061] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.102] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.141] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.181] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.221] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.260] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.299] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.340] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.380] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.420] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.461] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.501] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.541] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.582] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.620] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.660] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.700] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.741] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.781] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.821] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.861] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.901] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.941] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:03.980] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.019] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.059] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.101] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.140] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.181] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.221] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.260] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.300] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.340] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.379] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.419] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.460] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.500] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.541] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.581] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.621] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.661] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.700] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.740] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.780] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.820] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.860] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
[2052-11-10 00:00:04.900] [Stability] class=1 rebase: roll=1.8  pitch=6.5  yaw=62.3
